language,count,type
C,11,Mais receptivos
Clojure,2,Mais receptivos
CoffeeScript,1,Mais receptivos
Erlang,3,Mais receptivos
Go,18,Mais receptivos
Haskell,6,Mais receptivos
Java,12,Mais receptivos
JavaScript,16,Mais receptivos
Objective-C,1,Mais receptivos
PHP,10,Mais receptivos
Python,17,Mais receptivos
Ruby,16,Mais receptivos
Scala,7,Mais receptivos
Perl,0,Mais receptivos
TypeScript,13,Mais receptivos
C,19,Menos receptivos
Clojure,28,Menos receptivos
CoffeeScript,29,Menos receptivos
Erlang,27,Menos receptivos
Go,12,Menos receptivos
Haskell,24,Menos receptivos
Java,18,Menos receptivos
JavaScript,14,Menos receptivos
Objective-C,29,Menos receptivos
Perl,30,Menos receptivos
PHP,20,Menos receptivos
Python,13,Menos receptivos
Ruby,14,Menos receptivos
Scala,23,Menos receptivos
TypeScript,17,Menos receptivos
